sentence,artwork,person
"Miếng da lừa là một tiểu thuyết của nhà văn Pháp Honoré de Balzac, được viết năm 1831 và tiếp sau cuốn ""Những người Chouan"".",Miếng da lừa,Honoré de Balzac
"""Xa đám đông điên loạn"" là cuốn tiểu thuyết thứ tư, thành công đầu tiên của nhà văn Anh Thomas Hardy.",Xa đám đông điên loạn,Thomas Hardy
Vốn thế kỉ 21 là một cuốn sách kinh tế học của Thomas Piketty.,Vốn thế kỉ 21,Thomas Piketty
Đám mây mặc quần – là một trường ca nổi tiếng của nhà thơ Vladimir Vladimirovich Mayakovsky viết trong năm 1914 và Osip Brik phát hành lần đầu vào năm 1915.,Đám mây mặc quần,Vladimir Vladimirovich Mayakovsky
Đến ngọn hải đăng là một cuốn tiểu thuyết xuất bản năm 1927 của tác giả Virginia Woolf.,Đến ngọn hải đăng,Virginia Woolf
"Thiên thần và ác quỷ là tiểu thuyết khoa học giả tưởng được xuất bản lần đầu năm 2000 do nhà văn Mỹ Dan Brown, tác giả của ""Mật mã Da Vinci"", ""Pháo đài số"", ""Điểm dối lừa"" sáng tác.",Thiên thần và ác quỷ,Dan Brown
"Anna Karenina là một tiểu thuyết của nhà văn Nga Lev Nikolayevich Tolstoy, được đăng tải nhiều kỳ trên tờ báo ""Ruskii Vestnik"" từ năm 1873 đến năm 1877 trước khi xuất bản thành ấn phẩm hoàn chỉnh.",Anna Karenina,Lev Nikolayevich Tolstoy
Chuyện rừng xanh là một tuyển tập truyện ngắn của nhà văn người Anh Rudyard Kipling.,Chuyện rừng xanh,Rudyard Kipling
Lửa và cuồng nộ: Bên trong tòa nhà Bạch ốc của Trump là một cuốn sách phi hư cấu sắp xuất bản viết bởi Michael Wolff.,Lửa và cuồng nộ,Michael Wolff
"Bản tình ca của J. Alfred Prufrock, thường được gọi là Prufrock, là một bài thơ của nhà thơ Mỹ, T. S. Eliot, bắt đầu viết từ tháng 2 năm 1910, viết xong năm 1911 và in lần đầu ở tạp chí ""Poetry"" bốn năm sau đó.",Bản tình ca của J. Alfred Prufrock,T. S. Eliot
Ichiban Ushiro no Daimaou là loạt light novel do Mizuki Shotaro thực hiện và minh họa bởi Itō Souichi.,Ichiban Ushiro no Daimaou,Mizuki Shotaro
"Buổi chiều Windows là một tiểu thuyết dành cho thanh thiếu niên của nhà văn Nguyễn Nhật Ánh, sáng tác năm 1995, vào thời kỳ máy vi tính và hệ điệu hành Windows bắt đầu phổ biến ở Việt Nam.",Buổi chiều Windows,Nguyễn Nhật Ánh
"""Crippled America: How to Make America Great Again "" là cuốn sách do Donald Trump viết và được xuất bản năm 2015.",Crippled America,Donald Trump
"Gắng sống đến bình minh là một truyện vừa khai thác đề tài cuộc Chiến tranh Vệ quốc vĩ đại của nhà văn Vasil Bykaŭ, ra đời năm 1973.",Gắng sống đến bình minh,Vasil Bykaŭ
"Trại hoa vàng là một truyện dài của nhà văn Nguyễn Nhật Ánh, được xuất bản năm 1994.",Trại hoa vàng,Nguyễn Nhật Ánh
Cô gái chơi dương cầm là một tiểu thuyết của nữ văn sĩ người Áo Elfriede Jelinek.,Cô gái chơi dương cầm,Elfriede Jelinek
Thám tử rời sân khấu là một tiểu thuyết hình sự của nhà văn Agatha Christie được hãng Collins Crime Club xuất bản lần đầu tại Anh tháng 9 năm 1975.,Thám tử rời sân khấu,Agatha Christie
Chú chó gác sao là một manga Nhật Bản của họa sĩ Murakami Takashi.,Chú chó gác sao,Murakami Takashi
"Người tá điền đồi Wildfell là tác phẩm nổi tiếng nhất của nhà văn Anh Anne Brontë, được xuất bản bởi Thomas Cautley Newby vào năm 1848 dưới bút danh Acton Bell.",Người tá điền đồi Wildfell,Anne Brontë
"Fate/Zero là một light novel của Gen Urobuchi, Takeuchi Takashi minh họa, và là một tiền truyện thuộc tiểu thuyết ""Fate/stay Night"" của Type-Moon.",Fate/Zero,Gen Urobuchi
"Nhật ký vũ trụ của Ion lặng lẽ là một tuyển tập truyện ngắn của nhà văn Stanisław Lem, nói về những cuộc phiêu lưu của nhà du hành vũ trụ Ion lặng lẽ.",Nhật ký vũ trụ của Ion Lặng Lẽ,Stanisław Lem
"Balzac và cô bé thợ may Trung Hoa là một tiểu thuyết của nhà văn Đới Tư Kiệt, xuất bản năm 2000.",Balzac và cô bé thợ may Trung Hoa,Đới Tư Kiệt
"Chinh phụ ngâm, còn có tên khác là Chinh phụ ngâm khúc là tác phẩm văn vần của Đặng Trần Côn, ra đời trong khoảng năm 1741 giai đoạn sơ kỳ Cảnh Hưng và về sau được nhiều người dịch ra thơ Nôm.",Chinh phụ ngâm,Đặng Trần Côn
Anh chàng Hobbit là một tiểu thuyết hư cấu dành cho thiếu nhi của nhà văn J. R. R. Tolkien.,Anh chàng Hobbit,J. R. R. Tolkien
Lịch sử suy tàn và sụp đổ của Đế quốc La Mã là một bộ sách về lịch sử Đế quốc La Mã gồm sáu quyển do sử gia Anh Edward Gibbon viết.,Lịch sử suy tàn và sụp đổ của Đế quốc La Mã,Edward Gibbon
"Tam quốc diễn nghĩa, nguyên tên là ""Tam quốc chí thông tục diễn nghĩa"", là một tiểu thuyết lịch sử Trung Quốc được La Quán Trung viết vào thế kỷ 14 kể về thời kỳ hỗn loạn Tam Quốc với 120 chương hồi, theo phương pháp ""bảy thực ba hư"".",Tam quốc diễn nghĩa,La Quán Trung
Cô bé bán diêm là truyện cổ tích do tác giả người Đan Mạch Hans Christian Andersen sáng tác.,Cô bé bán diêm,Hans Christian Andersen
"Bọn làm bạc giả xuất bản năm 1925 là tiểu thuyết trinh thám nổi tiếng của André Gide, người đoạt giải Nobel Văn học năm 1947.",Bọn làm bạc giả,André Gide
"Tuyết Sơn phi hồ là cuốn tiểu thuyết võ hiệp của Kim Dung, được đăng trên Minh báo vào năm 1959.",Tuyết sơn phi hồ,Kim Dung
"Liễu Phàm Tứ Huấn là một tác phẩm được viết bởi Viên Liễu Phàm, sống trong thời nhà Minh, quê ở Gia Thiện, thuộc Chiết Giang, Trung Quốc vào khoảng năm 1550.",Liễu Phàm Tứ Huấn,Viên Liễu Phàm
Hương thơm từ núi lạ là một tập truyện ngắn của Robert Olen Butler được xuất bản năm 1992.,Hương thơm từ núi lạ,Robert Olen Butler
"Sống chết mặc bay là một tác phẩm của nhà văn Phạm Duy Tốn, được viết theo thể truyện ngắn hiện đại và đăng trên tạp chí Nam Phong số 18 tháng 12 năm 1918.",Sống chết mặc bay,Phạm Duy Tốn
"Suy ngẫm về Triết học tiên khởi, với tựa đề con ""Chứng minh sự tồn tại của Chúa trời và sự khác biệt thực sự giữa tâm và thân"", là cuốn sách viết bởi René Descartes được xuất bản lần đầu năm 1641.",Suy ngẫm về Triết học Tiên khởi,René Descartes
"Iga Nimpō-chō, tạm dịch: ""bí kiếp nhẫn pháp của Ninja Iga"" là tên một tác phẩm truyền kỳ, tiểu thuyết thời đại của nhà văn Nhật Bản Yamada Fūtarō.",Iga Nimpō-chō,Yamada Fūtarō
"Moby Dick - Cá voi trắng là một tiểu thuyết phiêu lưu mạo hiểm của tác giả người Mỹ Herman Melville và được xuất bản lần đầu tiên vào năm 1851, được coi là một tiểu thuyết Mỹ vĩ đại và một kho tàng văn học thế giới.",Moby Dick,Herman Melville
Oliver Twist là tiểu thuyết thứ hai của Charles Dickens.,Oliver Twist,Charles Dickens
"Kim Vân Kiều là một tác phẩm tiểu thuyết chương hồi của Thanh Tâm Tài Nhân, tác giả đời nhà Minh, Trung Quốc biên soạn vào cuối thế kỷ 16 và đầu thế kỷ 17.",Kim Vân Kiều,Thanh Tâm Tài Nhân
Người đàn bà quỷ quyệt là một tác phẩm ăn khách của nhà văn Hoa Kỳ Sidney Sheldon ra đời năm 1982.,Người đàn bà quỷ quyệt,Sidney Sheldon
"Chiến tranh và hòa bình là nhan đề một tiểu thuyết của Lev Nikolayevich Tolstoy, xuất bản rải rác trong giai đoạn 1865–1869.",Chiến tranh và hòa bình,Lev Nikolayevich Tolstoy
"Người đẹp say ngủ là tiểu thuyết dài 5 chương của văn hào Nhật Bản Kawabata Yasunari, được tác giả sáng tác dựa trên một kịch bản sân khấu kabuki nhan đề ""Những mỹ nữ của Eguchi"" công diễn khoảng thế kỷ 17 ở Nhật Bản.",Người đẹp say ngủ,Kawabata Yasunari
"Những bóng người trên sân ga là một bài thơ hay do thi sĩ Nguyễn Bính sáng tác vào năm 1937 tại Hà Nội, Việt Nam.",Những bóng người trên sân ga,Nguyễn Bính
Những cuộc phiêu lưu của Tintin là bộ truyện tranh nhiều tập do họa sĩ người Bỉ Georges Remi sáng tác dưới bút danh Hergé.,Những cuộc phiêu lưu của Tintin,Hergé
Minh nho học án là tác phẩm sử học Trung Quốc đời Thanh của sử gia Hoàng Tông Hy.,Minh nho học án,Hoàng Tông Hy
"Chúc một ngày tốt lành là tác phẩm của nhà văn chuyên viết truyện cho thiếu nhi Nguyễn Nhật Ánh, kể về cuộc sống hằng ngày của con người cũng như các con vật ở một làng quê.",Chúc một ngày tốt lành,Nguyễn Nhật Ánh
"AQ chính truyện là truyện vừa duy nhất của Lỗ Tấn được đăng tải lần đầu trên ""Thần báo phó san"" ở Bắc Kinh trong khoảng thời gian từ 4 tháng 12 năm 1921 đến 12 tháng 2 năm 1922.",AQ chính truyện,Lỗ Tấn
Từ điển Việt–Bồ–La là một cuốn từ điển bằng ba ngôn ngữ: Việt–Bồ Đào Nha–Latinh do nhà truyền giáo và nhà ngôn ngữ học Dòng Tên Alexandre de Rhodes biên soạn và được Thánh Bộ Truyền bá Đức Tin ấn hành tại Roma năm 1651.,Từ điển Việt–Bồ–La,Alexandre de Rhodes
"Cô bé Fadette là tiểu thuyết tiêu biểu cho giai đoạn Đồng quê của nhà văn Pháp George Sand, được viết vào năm 1849.",Cô bé Fadette,George Sand
"1Q84 là tên tiểu thuyết gồm 3 tập phát hành trong khoảng từ năm 2009 đến 2010 của nhà văn người Nhật, Murakami Haruki.",1Q84,Murakami Haruki
Tên anh chưa có trong danh sách là một tiểu thuyết Liên Xô của nhà văn Boris Vasilyev được xuất bản lần đầu năm 1974.,Tên anh chưa có trong danh sách,Boris Vasilyev
"Tống biệt là một bài từ nổi tiếng của Tản Đà, một thi nhân thời tiền chiến, Việt Nam.",Tống biệt,Tản Đà
Mass Effect: Revelation là một tiểu thuyết khoa học viễn tưởng của Drew Karpyshyn.,Mass Effect: Revelation,Drew Karpyshyn
"Rùa và Thỏ nằm trong tập Ngụ ngôn Aesop, và được đánh số 226 theo danh mục Perry.",Rùa và Thỏ,Aesop
Lincoln in the Bardo là một cuốn tiểu thuyết thể nghiệm năm 2017 của nhà văn Mỹ George Saunders.,Lincoln in the Bardo,George Saunders
Lolita là một tiểu thuyết của Vladimir Vladimirovich Nabokov.,Lolita,Vladimir Vladimirovich Nabokov
"Tiếu ngạo giang hồ là một tiểu thuyết kiếm hiệp của Kim Dung, lần đầu tiên được phát hành trên Minh báo từ ngày 20 tháng 4 năm 1967 đến 12 tháng 10 năm 1969.",Tiếu ngạo giang hồ,Kim Dung
"Dulce et Decorum est – là bài thơ của nhà thơ Anh Quốc Wilfred Owen viết năm 1917 và được công bố năm 1921, sau khi nhà thơ đã hy sinh tại một trận đánh vào năm 1918 trong cuộc Chiến tranh thế giới lần thứ nhất.",Dulce et Decorum Est,Wilfred Owen
"Giữa miền đất ấy là tiểu thuyết của nhà văn Nam Phi John Maxwell Coetzee, được viết bằng tiếng Anh, xuất bản lần đầu tiên năm 1977.",Giữa miền đất ấy,John Maxwell Coetzee
"Sách Xanh là một cuốn sách ngắn có nội dung về chính trị học của nhà lãnh đạo Libya, Muammar al-Gaddafi.",Sách Xanh,Muammar al-Gaddafi
"Nhật ký chú bé nhút nhát là một series tiểu thuyết của tác giả Jeff Kinney, được nhen nhóm ý tưởng vào năm 1998 và sau đó 6 năm phiên bản đầu tiên đã được ra đời.",Nhật ký chú bé nhút nhát,Jeff Kinney
"Lều chõng là một tiểu thuyết phóng sự của nhà văn Ngô Tất Tố, ra mắt độc giả lần đầu ngày 10 tháng 3 năm 1939 tại Hà Nội.",Lều chõng,Ngô Tất Tố
"Đoàn hộ nhẫn là phần đầu tiên trong bộ tiểu thuyết giả tưởng ""Chúa tể những chiếc nhẫn của nhà văn J. R. R. Tolkien.",Đoàn hộ nhẫn,J. R. R. Tolkien
"Quê hương tan rã là tiểu thuyết nổi tiếng của nhà văn người Nigeria, Chinua Achebe.",Quê hương tan rã,Chinua Achebe
Nhật ký Anne Frank là một cuốn sách bao gồm các trích đoạn từ một cuốn nhật ký do Anne Frank viết trong khi cô bé đang trốn cùng gia đình trong thời kỳ Đức Quốc xã chiếm đóng Hà Lan.,Nhật ký Anne Frank,Anne Frank
"Jane Eyre là cuốn tiểu thuyết của văn sĩ ""Charlotte Brontë"", được xuất bản bởi ""Smith, Elder & Company of London"" vào năm 1847 dưới bút danh Currer Bell, là một trong những tiểu thuyết có ảnh hưởng sâu sắc và nổi tiếng nhất của nền văn học Anh.",Jane Eyre,Charlotte Brontë
Hai vạn dặm dưới biển: Du hành vào thế giới dưới nước là một cuốn tiểu thuyết cổ điển về khoa học viễn tưởng của nhà văn Pháp Jules Verne xuất bản năm 1870.,Hai vạn dặm dưới biển,Jules Verne
53 trạm nghỉ của Tōkaidō là một bộ tranh màu truyền thống Nhật Bản gồm 55 bức được họa sĩ Hiroshige sáng tác sau chuyến du hành dọc tuyến đường Tōkaidō vào năm 1832.,53 trạm nghỉ của Tōkaidō,Hiroshige
Maburaho là loạt light novel do Tsukiji Toshihiko thực hiện và Komatsu Eeji minh họa.,Maburaho,Tsukiji Toshihiko
"Giết con chim nhại là cuốn tiểu thuyết của Harper Lee; đây là cuốn tiểu thuyết rất được yêu chuộng, thuộc loại bán chạy nhất thế giới với hơn 10 triệu bản.",Giết con chim nhại,Harper Lee
Nhập môn Marx là một cuốn sách của Rius dưới hình thức truyện tranh hài giới thiệu về cuộc đời và hành trình tư tưởng của Karl Marx.,Nhập môn Marx,Rius
"Thế giới của Sophie, với tựa đề con Một tiểu thuyết về lịch sử triết học, là một tiểu thuyết của nhà văn Jostein Gaarder.",Thế giới của Sophie,Jostein Gaarder
"Trong Gia đình là một cuốn tiểu thuyết được xuất bản vào năm 1893 bởi Hector Malot, nguyên bản tiếng Pháp.",Trong gia đình,Hector Malot
"Phía sau nghi can X là một bộ tiểu thuyết được viết vào năm 2005 bởi Higashino Keigo, cuốn thứ ba trong seri Thám tử Galileo và đây là tác phẩm thành công nhất của ông từ trước đến nay.",Phía sau nghi can X,Higashino Keigo
"""Doraemon"" là tác phẩm của Fujiko Fujio, bút danh chung của hai họa sĩ manga Fujimoto Hiroshi và Abiko Motoo.",Doraemon,Fujiko Fujio
Một chín tám tư là tên một tiểu thuyết dystopia phát hành năm 1949 của nhà văn người Anh George Orwell.,Một chín tám tư,George Orwell
"Truyện kể Genji, là một trường thiên tiểu thuyết của nữ sĩ cung đình Nhật Bản có biệt danh là Murasaki Shikibu sống dưới trướng của thứ phi Akiko trong cung Fujitsubo, triều đại Thiên hoàng Nhất Điều, không rõ tên thật của bà là gì.",Truyện kể Genji,Murasaki Shikibu
The Vegetarian là một tiểu thuyết ba phần Hàn Quốc do Han Kang sáng tác và xuất bản lần đầu vào năm 2007.,The Vegetarian,Han Kang
"""Tác phẩm lần đầu tiên được ra mắt tại Trung Quốc, do nhà văn Hạ Lộ chuyển ngữ với tên gọi Chiến Tranh Ai Ca"" Nỗi buồn chiến tranh là một tiểu thuyết của nhà văn Bảo Ninh, xuất bản lần đầu năm 1987 và lập tức gây “bão” trên văn đàn Việt Nam ở đủ mọi khía cạnh khác nhau.",Nỗi buồn chiến tranh,Bảo Ninh
"Pháo đài số là tiểu thuyết thể loại tình báo của tác giả người Mỹ Dan Brown, xuất bản năm 1998 bởi St. Martin's Press.",Pháo đài số,Dan Brown
Mãi đừng xa tôi là một tiểu thuyết xuất bản năm 2005 của nhà văn người Anh gốc Nhật Kazuo Ishiguro.,Mãi đừng xa tôi,Kazuo Ishiguro
Sidereus Nuncius là một chuyên luận thiên văn học ngắn của nhà khoa học người Ý Galileo Galilei.,Sidereus Nuncius,Galileo Galilei
"Nếu em không phải một giấc mơ, còn có bản dịch khác mang tên Và nếu như chuyện này là có thật, là tiểu thuyết đầu tay của nhà văn Pháp Marc Levy, xuất bản năm 1999.",Nếu em không phải một giấc mơ,Marc Levy
"Thiên đô chiếu tức Chiếu dời đô là một đoạn văn được Ngô Sĩ Liên ghi lại sớm nhất ở thế kỷ XV trong sách ""Đại Việt sử ký toàn thư"", bài văn này được cho rằng do vua Lý Thái Tổ ban hành vào mùa xuân năm 1010 để chuyển kinh đô của nước Đại Cồ Việt từ Hoa Lư ra thành Đại La.",Chiếu dời đô,Lý Thái Tổ
Những cuộc phiêu lưu của Sherlock Holmes là loạt truyện xoay quanh nhân vật thám tử Sherlock Holmes và những vụ li kì do tác giả Arthur Conan Doyle khởi thảo năm 1855 và kết thúc vào năm 1925.,Những cuộc phiêu lưu của Sherlock Holmes,Arthur Conan Doyle
", được cách điệu là BTOOOM!, là một seri manga Nhật Bản được viết và minh họa bởi Junya Inoue.",Btooom!,Junya Inoue
Nadja là cuốn tiểu thuyết nổi tiếng của nhà văn người Pháp André Breton.,Nadja,André Breton
Kattobi Itto / Buttobi Itto là một bộ truyện của tác giả Motoki Monma và xuất bản bởi nhà xuất bản Shueisha.,Kattobi Itto,Motoki Monma
Murder in Mesopotamia là một tiểu thuyết hình sự của nhà văn Agatha Christie được nhà sách Collins Crime Club xuất bản lần đầu tại Anh ngày 6 tháng 7 năm 1936.,Murder in Mesopotamia,Agatha Christie
"Bạch mã khiếu tây phong là một trong những tiểu thuyết võ hiệp của Kim Dung, xuất bản lần đầu vào năm 1962 trên Minh Báo.",Bạch mã khiếu tây phong,Kim Dung
"Tess of the d'Urbervilles: A Pure Woman Faithfully Presented, ngoài ra còn được biết đến dưới các tựa ""Tess of the d'Urbervilles: A Pure Woman"", ""Tess of the d'Urbervilles"" hay chỉ ""Tess"" không, là một tiểu thuyết nổi tiếng của nhà văn Anh Thomas Hardy, được xuất bản lần đầu vào năm 1891.",Tess of the d'Urbervilles,Thomas Hardy
"Chùm nho uất hận, còn có tên trên bản dịch là Chùm nho nổi giận hay Chùm nho phẫn nộ, là tiểu thuyết của văn hào John Steinbeck, bao gồm 30 chương, phản ánh những biến đổi sâu sắc trong nông thôn nước Mỹ khoảng những năm đầu thế kỷ 20 dưới ảnh hưởng mạnh mẽ của thời đại công nghiệp hóa.",Chùm nho uất hận,John Steinbeck
"Tiên phong lên Mặt Trăng là tác phẩm khoa học viễn tưởng sáng tác bởi H. G. Wells, xuất bản năm 1901.",Tiên phong lên Mặt Trăng,H. G. Wells
"Ở nơi quỷ sứ giặc non là sách có minh họa cho trẻ em học đọc viết năm 1963 bởi nhà văn, họa sĩ Mỹ Maurice Sendak, xuất bản lần đầu bởi Harper & Row.",Ở nơi quỷ sứ giặc non,Maurice Sendak
"Ỷ Thiên Đồ Long ký, còn được dịch ra tiếng Việt là Cô gái Đồ Long, là một tiểu thuyết võ hiệp của nhà văn Kim Dung.",Ỷ Thiên Đồ Long ký,Kim Dung
Ông già và Biển cả là một tiểu thuyết ngắn được Ernest Hemingway viết ở Cuba năm 1951 và xuất bản năm 1952.,Ông già và biển cả,Ernest Hemingway
"Ngày hoàn hảo cho cá chuối là một truyện ngắn của tác giả người Mỹ J. D. Salinger, được in lần đầu tiên vào ấn phẩm 31 tháng 1 năm 1948 của tạp chí ""Người New York"".",Ngày hoàn hảo cho cá chuối,J. D. Salinger
Những người trong cát là một tiểu thuyết kinh dị nói về Cthulhu Mythos của tác giả Adam Niswander.,Những người trong cát,Adam Niswander
Bắt trẻ đồng xanh là tiểu thuyết đầu tay của nhà văn Mỹ J. D. Salinger.,Bắt trẻ đồng xanh,J. D. Salinger
"Anh hùng xạ điêu là một trong những tiểu thuyết võ hiệp của Kim Dung được đánh giá cao, được ""Hương Cảng Thương Báo"" xuất bản năm 1957.",Anh hùng xạ điêu,Kim Dung
"Bố của Simon là một truyện ngắn của nhà văn người Pháp Guy de Maupassant, được ra mắt lần đầu tiên năm 1879.",Bố của Simon,Guy de Maupassant
"Lương thư là một sách lịch sử theo thể kỷ truyện trong 24 sách lịch sử Trung Quốc do Diêu Tư Liêm đời Đường kế thừa cha là Diêu Sát đời Trần viết và biên soạn vào năm Trinh Quán thứ 3, đến năm Trinh Quán thứ 10 thì hoàn thành.",Lương thư,Diêu Tư Liêm
Người thí nghiệm là một tác phẩm khoa học của nhà khoa học người Ý Galileo Galilei.,Người thí nghiệm,Galileo Galilei
Vụ ám sát ông Roger Ackroyd là một tiểu thuyết hình sự của nhà văn Agatha Christie được hãng William Collins & Sons xuất bản lần đầu tại Anh tháng 6 năm 1926.,Vụ ám sát ông Roger Ackroyd,Agatha Christie
"Câu chuyện ba chiếc rìu là một trong những ngụ ngôn Aesop, đứng thứ 173 trong Perry Index.",Câu chuyện ba chiếc rìu,Aesop
Demian: Câu chuyện tuổi trẻ của Emil Sinclair hay tựa khác Tuổi trẻ băn khoăn là một cuốn tiểu thuyết được chắp bút bởi Hermann Hesse.,Demian,Hermann Hesse
Sophie và tên khổng lồ là cuốn sách dành cho thiếu nhi được phát hành năm 1982 do nhà văn người Anh Roald Dahl viết và minh họa bởi Quentin Blake.,Sophie và tên khổng lồ,Roald Dahl
Tìm hiểu về bản chất và nguồn gốc của cải của các quốc gia là tác phẩm kinh điển của kinh tế chính trị do Adam Smith viết và xuất bản lần đầu năm 1776.,Tìm hiểu về bản chất và nguồn gốc của cải của các quốc gia,Adam Smith
"Tống thư là một sách trong 24 sách lịch sử Trung Quốc, do Thẩm Ước người nhà Lương thời Nam triều viết và biên soạn.",Tống thư,Thẩm Ước
"Xuất sư biểu là tên gọi hai bài biểu, Tiền xuất sư biểu và Hậu xuất sư biểu do Gia Cát Lượng viết ra để dâng lên Thục Hán Hậu chủ Lưu Thiện trước khi ông thân chinh dẫn quân đi Bắc phạt lần thứ nhất và lần thứ hai vào các năm 225 và 226 thời Tam Quốc.",Xuất sư biểu,Gia Cát Lượng
Martin Eden là một trong những tiểu thuyết nổi tiếng nhất của Jack London.,Martin Eden,Jack London
"Alexiad là một tác phẩm lịch sử và tiểu sử thời Trung Cổ được viết vào khoảng năm 1148, bởi nhà sử học và công chúa Đông La Mã Anna Komnene, con gái của Hoàng đế Alexios I Komnenos.",Alexiad,Anna Komnene
"Sleeping Venus là một bức tranh được họa sĩ người Ý Giorgione sáng tác thời Phục hưng, trong khi cảnh quan và bầu trời, ngày nay được nhiều người được chấp nhận, được vẽ bởi Titian, và được hoàn thành năm 1510 sau cái chết của Giorgione.",Sleeping Venus,Giorgione
"Ivanhoe là một cuốn tiểu thuyết hư cấu lịch sử của nhà văn Walter Scott xuất bản vào năm 1820, truyện kể về một hiệp sĩ thời Trung Cổ của nước Anh.",Ivanhoe,Walter Scott
Lão Goriot là một tiểu thuyết xuất bản lần đầu năm 1835 của nhà văn Pháp Honoré de Balzac.,Lão Goriot,Honoré de Balzac
Việt Nam vong quốc sử là một tác phẩm do Phan Bội Châu biên soạn bằng chữ Hán vào năm Ất Tỵ.,Việt Nam vong quốc sử,Phan Bội Châu
Nanh Trắng là một cuốn tiểu thuyết của nhà văn Mỹ Jack London.,Nanh Trắng,Jack London
Chí Phèo là một truyện ngắn nổi tiếng của nhà văn Nam Cao viết vào tháng 2 năm 1941.,Chí Phèo,Nam Cao
"Umibe no Onnanoko là một manga Nhật Bản, được viết và minh họa bởi Asano Inio.",Umibe no Onnanoko,Asano Inio
Tasogare Otome x Amnesia là loạt manga được thực hiện bởi Maybe.,Tasogare Otome x Amnesia,Maybe
Đời nhẹ khôn kham là tiểu thuyết của nhà văn Milan Kundera viết năm 1982 và xuất bản lần đầu tiên năm 1984 tại Pháp.,Đời nhẹ khôn kham,Milan Kundera
Sông Đông êm đềm là bộ tiểu thuyết vĩ đại nhất của nhà văn Nga Mikhail Aleksandrovich Sholokhov.,Sông Đông êm đềm,Mikhail Aleksandrovich Sholokhov
Cánh buồm đỏ thắm là một câu chuyện lãng mạn dành cho lứa tuổi mới lớn của nhà văn Aleksandr Grin.,Cánh buồm đỏ thắm,Aleksandr Grin
Cô bé Igraine không biết sợ là cuốn tiểu thuyết giả tưởng dành cho trẻ em của Cornelia Funke.,Cô bé Igraine không biết sợ,Cornelia Funke
"Đại Việt sử lược, còn có tên là Việt sử lược, là một cuốn lịch sử Việt Nam viết bằng chữ Hán của một tác giả khuyết danh, ra đời vào thời nhà Trần.",Đại Việt sử lược,Khuyết danh
"Ngôi sao bất tử, hay Tinh cầu là một truyện vừa khai thác đề tài cuộc Chiến tranh Vệ quốc vĩ đại của nhà văn Emmanuil Kazakevich, ra mắt lần đầu năm 1957.",Ngôi sao bất tử,Emmanuil Kazakevich
Kämpfer là bộ light novel được viết bởi Tsukiji Toshihiko và minh họa bởi Senmu.,Kämpfer,Tsukiji Toshihiko
"Đào hoa nguyên ký hay Đào hoa nguyên, là một trong những sáng tác nổi tiếng của Đào Tiềm, một danh sĩ trong lịch sử văn học cổ điển Trung Quốc.",Đào hoa nguyên ký,Đào Tiềm
